"descricao","fipeid_marca","","fipeid_modelo","tipoveiculo"
AUDI,"6",A3 SPORTB. PRESTIGE PLUS 1.4 TFSI S-TRON,"8563",0
AUDI,"6",A3 SED. P.PLUS 1.4 25ANOS FLEX TFSI TIP.,"8768",0
AUDI,"6",A3 SED. P. PLUS TECH 1.4 FLEX TFSI TIP.,"8945",0
AUDI,"6",A3 SED. PERFORM. BLACK 2.0 TFSI S-TRONIC,"8983",0
AUDI,"6",A4 AVANT PREST. PLUS 2.0 TFSI S-TRONIC,"8769",0
AUDI,"6",A4 PRESTIGE 2.0 TFSI 190CV S-TRONIC,"8770",0
AUDI,"6",A4 PRESTIGE PLUS 2.0 TFSI 190CV S TRONIC,"8771",0
AUDI,"6",A4 AVANT LIM. ED. 2.0 TFSI S TRONIC,"8228",0
AUDI,"6",A4 LIMITED EDITION 2.0 TFSI S TRONIC,"8229",0
AUDI,"6",A4 1.8  AUT.,"68",0
AUDI,"6",A4 1.8  MEC.,"69",0
AUDI,"6",A4 1.8 AVANT AUT.,"70",0
AUDI,"6",A4 1.8 AVANT MEC.,"71",0
AUDI,"6",A4 1.8 AVANT TURBO MEC.,"72",0
AUDI,"6",A4 1.8 AVANT TURBO TIP./ MULTITRONIC,"73",0
AUDI,"6",A4 1.8 TIP./ MULTITRONIC TURBO,"74",0
AUDI,"6",A4 1.8 TURBO,"75",0
AUDI,"6",A4 2.0 16V TFSI 183/180CV MULTITRONIC,"4843",0
AUDI,"6",A4 2.0 16V TFSI 200/ 214CV MULTITRONIC,"4182",0
AUDI,"6",A4 2.0 16V TFSI QUATTRO STRONIC,"6144",0
AUDI,"6",A4 2.0 20V 130CV MULTITRONIC 4P,"76",0
AUDI,"6",A4 2.0 AVANT 16V TFSI QUATTRO STRONIC,"6145",0
AUDI,"6",A4 2.0 AVANT AMBIE. 2.0 16V TFSI S TRON.,"7750",0
AUDI,"6",A4 2.0 AVANT TFSI 183/180CV MULTITRONI,"4844",0
AUDI,"6",A4 2.0 AVANT TFSI 200/214CV MULTITRON.,"4183",0
AUDI,"6",A4 2.4 30V AVANT MEC.,"77",0
AUDI,"6",A4 2.4 30V AVANT TIP./MULTITRONIC,"78",0
AUDI,"6",A4 2.4 30V MEC.,"79",0
AUDI,"6",A4 2.4 30V TIP./MULTITRONIC,"80",0
AUDI,"6",A4 2.4 AVANT V6 30V QUATTRO MEC.,"81",0
AUDI,"6",A4 2.4 AVANT V6 30V QUATTRO TIPTRONIC,"82",0
AUDI,"6",A4 2.4 V6 30V QUATTRO MEC.,"83",0
AUDI,"6",A4 2.4 V6 30V QUATTRO TIPTRONIC,"84",0
AUDI,"6",A4 2.8,"85",0
AUDI,"6",A4 2.8 30V  TIPTRONIC/ AUT.,"86",0
AUDI,"6",A4 2.8 30V MEC.,"87",0
AUDI,"6",A4 2.8 AVANT V6 12V,"88",0
AUDI,"6",A4 2.8 AVANT V6 30V MEC.,"89",0
AUDI,"6",A4 2.8 AVANT V6 30V QUATTRO MEC.,"90",0
AUDI,"6",A4 2.8 AVANT V6 30V QUATTRO TIPTRONIC,"91",0
AUDI,"6",A4 2.8 AVANT V6 30V TIPTRONIC,"92",0
AUDI,"6",A4 2.8 V6 30V  QUATTRO TIPTRONIC,"93",0
AUDI,"6",A4 2.8 V6 30V QUATTRO MEC.,"94",0
AUDI,"6",A4 3.0 30V 218CV MULTITRONIC 4P,"95",0
AUDI,"6",A4 3.0 30V 218CV QUATTRO TIPTRON./AUT 4P,"96",0
AUDI,"6",A4 3.0 AVANT 30V 218CV MULTITRONIC 5P,"97",0
AUDI,"6",A4 3.0 AVANT 30V 218CV QUATTRO TIPTRONIC,"98",0
AUDI,"6",A4 3.0 CABRIOLET 30V 218CV MULTITRONIC,"99",0
AUDI,"6",A4 3.2 FSI 24V 255CV MULTITRONIC,"4286",0
AUDI,"6",A4 3.2 FSI 24V 269CV QUATTRO TIPTRONIC,"4731",0
AUDI,"6",A4 3.2 FSI AVANT 24V 255CV MULTITRONIC,"4287",0
AUDI,"6",A4 3.2 FSI AVANT 24V QUATTRO S TRONIC,"4935",0
AUDI,"6",A4 3.2 FSI CABRIOLET 24V 255CV MULTITRON,"4288",0
AUDI,"6",A4 AMBIENTE 2.0 TFSI 190CV S TRONIC,"7717",0
AUDI,"6",A4 AMBITION 2.0 TFSI QUATTRO S TRONIC,"7894",0
AUDI,"6",A4 ATTRACTION 2.0 TFSI 190CV S TRONIC,"7656",0
